,MUNICIPIO_NACIMIENTO,MUNICIPIO_RESIDENCIA
530,VALLEDUPAR,
531,LA PAZ,
532,VALLEDUPAR,
533,SANTA MARTA,
534,VALLEDUPAR,
535,CHIRIGUANÁ,VALLEDUPAR
536,VALLEDUPAR,
537,VALLEDUPAR,VALLEDUPAR
538,VALLEDUPAR,
539,VALLEDUPAR,
540,VALLEDUPAR,
541,TAMALAMEQUE,
542,CIUDAD EXTRANJERO,VALLEDUPAR
543,MANAURE BALCÓN DEL CESAR,MANAURE BALCÓN DEL CESAR
544,VALLEDUPAR,
545,VALLEDUPAR,
546,LA PAZ,
547,VALLEDUPAR,
548,VALLEDUPAR,
549,VALLEDUPAR,VALLEDUPAR
550,SAN DIEGO,
551,VALLEDUPAR,
552,"BOGOTÁ, D.C.",LA PAZ
553,CURUMANÍ,
554,MANAURE BALCÓN DEL CESAR,
555,VALLEDUPAR,VALLEDUPAR
556,VALLEDUPAR,
557,VALLEDUPAR,AGUSTÍN CODAZZI
558,BARRANCAS,
559,SAN DIEGO,
560,AGUSTÍN CODAZZI,
561,SAN DIEGO,
562,SAN DIEGO,SAN DIEGO
563,BOSCONIA,
564,MANAURE BALCÓN DEL CESAR,
565,MANAURE BALCÓN DEL CESAR,
566,MANAURE BALCÓN DEL CESAR,
567,VALLEDUPAR,
568,MANAURE BALCÓN DEL CESAR,
569,LA PAZ,LA PAZ
570,PAILITAS,
571,BUENAVISTA,LA PAZ
572,VALLEDUPAR,
573,VALLEDUPAR,
574,VALLEDUPAR,VALLEDUPAR
575,VALLEDUPAR,
576,VALLEDUPAR,VALLEDUPAR
577,MAICAO,
578,"BOGOTÁ, D.C.",
579,SAN DIEGO,
580,PUEBLO BELLO,
581,VALLEDUPAR,
582,VALLEDUPAR,VALLEDUPAR
583,VALLEDUPAR,VALLEDUPAR
584,VALLEDUPAR,
585,VALLEDUPAR,
586,SAN DIEGO,
587,VALLEDUPAR,
588,RÍO VIEJO,VALLEDUPAR
589,VALLEDUPAR,
590,VALLEDUPAR,
591,"BOGOTÁ, D.C.",
592,BARRANQUILLA,VALLEDUPAR
593,BUCARAMANGA,
594,VALLEDUPAR,
595,MANAURE BALCÓN DEL CESAR,
596,VALLEDUPAR,
597,VALLEDUPAR,
598,VALLEDUPAR,
599,VALLEDUPAR,
600,SAN DIEGO,
601,VALLEDUPAR,VALLEDUPAR
602,VALLEDUPAR,VALLEDUPAR
603,VALLEDUPAR,
604,VALLEDUPAR,VALLEDUPAR
605,VALLEDUPAR,
606,MANAURE BALCÓN DEL CESAR,
607,LA PAZ,LA PAZ
608,MAICAO,LA PAZ
609,EL BANCO,VALLEDUPAR
610,VALLEDUPAR,VALLEDUPAR
611,SANTA MARTA,VALLEDUPAR
612,VALLEDUPAR,
613,VALLEDUPAR,
614,VALLEDUPAR,
615,VALLEDUPAR,LA PAZ
616,LA PAZ,
617,SAN DIEGO,
618,PASTO,VALLEDUPAR
619,SANTA MARTA,VALLEDUPAR
620,VALLEDUPAR,
621,LA PAZ,
622,VALLEDUPAR,VALLEDUPAR
623,VALLEDUPAR,SAN DIEGO
624,VALLEDUPAR,
625,VALLEDUPAR,
626,AGUSTÍN CODAZZI,
627,PUEBLO BELLO,
628,PUEBLOVIEJO,
629,AGUSTÍN CODAZZI,
630,,
631,VALLEDUPAR,
632,VALLEDUPAR,
633,LA JAGUA DEL PILAR,
634,ASTREA,EL PASO
635,MANAURE BALCÓN DEL CESAR,
636,VALLEDUPAR,VALLEDUPAR
637,MAICAO,
638,SAN DIEGO,
639,,
640,MANAURE BALCÓN DEL CESAR,
641,VALLEDUPAR,
642,VALLEDUPAR,
643,VALLEDUPAR,
644,AGUSTÍN CODAZZI,
645,VALLEDUPAR,
646,CURUMANÍ,
647,VALLEDUPAR,
648,VALLEDUPAR,
649,CALI,
650,VALLEDUPAR,
651,VALLEDUPAR,
652,VALLEDUPAR,
653,EL RETÉN,
654,CHIMICHAGUA,
655,VALLEDUPAR,
656,VALLEDUPAR,LA PAZ
657,VALLEDUPAR,
658,VALLEDUPAR,
659,CHIRIGUANÁ,PAILITAS
660,VALLEDUPAR,
661,VALLEDUPAR,
662,VALLEDUPAR,
663,VALLEDUPAR,
664,VALLEDUPAR,
665,VALLEDUPAR,VALLEDUPAR
666,VALLEDUPAR,VALLEDUPAR
667,EL PASO,EL PASO
668,VALLEDUPAR,VALLEDUPAR
669,SAN DIEGO,
670,FUNDACIÓN,VALLEDUPAR
671,LA PAZ,LA PAZ
672,AMALFI,
673,CHIMICHAGUA,CHIMICHAGUA
674,AGUSTÍN CODAZZI,LA PAZ
675,LA PAZ,
676,MONTERÍA,
677,VALLEDUPAR,VALLEDUPAR
678,SAN DIEGO,
679,LA PAZ,
680,MONTERÍA,
681,ARIGUANÍ,
682,CIUDAD EXTRANJERO,
683,VALLEDUPAR,
684,VALLEDUPAR,
685,VALLEDUPAR,
686,ARIGUANÍ,
687,VALLEDUPAR,VALLEDUPAR
688,PINILLOS,
689,EL COPEY,
690,VALLEDUPAR,
691,VALLEDUPAR,
692,VALLEDUPAR,
693,VALLEDUPAR,
694,VALLEDUPAR,
695,RIOHACHA,
696,VALLEDUPAR,
697,BARRANQUILLA,
698,LA PAZ,
699,LA PAZ,LA PAZ
700,LA PAZ,
701,VALLEDUPAR,
702,BECERRIL,
703,VALLEDUPAR,
704,VALLEDUPAR,VALLEDUPAR
705,SANTA MARTA,
706,VALLEDUPAR,
707,VALLEDUPAR,VALLEDUPAR
708,LA PAZ,
709,VALLEDUPAR,
710,LA PAZ,
711,MANAURE,VALLEDUPAR
712,VALLEDUPAR,
713,VALLEDUPAR,
714,VALLEDUPAR,
715,VALLEDUPAR,
716,VALLEDUPAR,
717,PUEBLO BELLO,
718,MANAURE BALCÓN DEL CESAR,
719,VALLEDUPAR,
720,SAN DIEGO,
721,VALLEDUPAR,
722,VALLEDUPAR,
723,VALLEDUPAR,
724,VALLEDUPAR,
725,VALLEDUPAR,VALLEDUPAR
726,VALLEDUPAR,VALLEDUPAR
727,PUEBLO BELLO,
728,SAN DIEGO,SAN DIEGO
729,SAN DIEGO,
730,AGUSTÍN CODAZZI,
731,LA PAZ,
732,VALLEDUPAR,
733,CALI,VALLEDUPAR
734,VALLEDUPAR,
735,VALLEDUPAR,VALLEDUPAR
736,LA PAZ,
737,VALLEDUPAR,
738,BARRANCO DE LOBA,
739,VALLEDUPAR,
740,VALLEDUPAR,
741,VALLEDUPAR,
742,VALLEDUPAR,VALLEDUPAR
743,VALLEDUPAR,
744,LA PAZ,LA PAZ
745,MANAURE BALCÓN DEL CESAR,
746,MANAURE BALCÓN DEL CESAR,
747,MONTERÍA,
748,SAN DIEGO,SAN DIEGO
749,LA PAZ,
750,HATONUEVO,VALLEDUPAR
751,SAN DIEGO,
752,PUEBLO BELLO,
753,BOSCONIA,
754,VALLEDUPAR,
755,,VALLEDUPAR
756,BECERRIL,
757,LA PAZ,LA PAZ
758,"BOGOTÁ, D.C.",
759,LA PAZ,
760,VALLEDUPAR,VALLEDUPAR
761,VALLEDUPAR,VALLEDUPAR
762,VALLEDUPAR,
763,VALLEDUPAR,
764,SAN DIEGO,SAN DIEGO
765,SAN DIEGO,SAN DIEGO
766,VALLEDUPAR,
767,SAN DIEGO,
768,VALLEDUPAR,
769,SINCELEJO,
770,VALLEDUPAR,VALLEDUPAR
771,PLATO,
772,SAN DIEGO,
773,MANAURE,
774,VALLEDUPAR,
775,AGUSTÍN CODAZZI,
776,CIUDAD EXTRANJERO,
777,VALLEDUPAR,VALLEDUPAR
778,VALLEDUPAR,
779,VALLEDUPAR,AGUSTÍN CODAZZI
780,CHIMICHAGUA,
781,VALLEDUPAR,
782,"BOGOTÁ, D.C.",
783,VALLEDUPAR,
784,CURUMANÍ,
785,LA PAZ,
786,VALLEDUPAR,VALLEDUPAR
787,SAN DIEGO,
788,LA PAZ,
789,VALLEDUPAR,
790,CHÍA,
791,VALLEDUPAR,VALLEDUPAR
792,VALLEDUPAR,
793,CHIMICHAGUA,CHIMICHAGUA
794,SAN DIEGO,
795,VALLEDUPAR,
796,VALLEDUPAR,
797,VALLEDUPAR,
798,VALLEDUPAR,
799,LA PAZ,
800,LA PAZ,
801,VALLEDUPAR,
802,EL PASO,
803,AGUSTÍN CODAZZI,
804,VALLEDUPAR,
805,VALLEDUPAR,
806,SAN DIEGO,
807,VALLEDUPAR,
808,CARTAGENA DE INDIAS,
